text,label
brexit: a cousin of trumpism? a distant cousin of fascism?,0
u.s. economy continues campaigning for barack obama,1
rick santorum blames absent dads and broken homes for mass shooters,0
local moviegoer enjoying movie so far,1
perverted measles virus exposes itself to playground full of children,1
report: friend doing sober january must have really fucked shit up over holidays,1
espn curious if you have ever considered playing fantasy football,1
safety-conscious senior locks screen door,1
expense-account wizard transforms prostitute into color copies,1
tennis star forgot her massive check at u.s. open,0
cross-shaped wwi monument declared unconstitutional,0
army general conducts exhaustive sex probe,1
the outrageous dessert you can make in a slow cooker,0
woman nervous mom starting to use her as confidant,1
drunk guy knows all the lyrics to this song,1
nation doesn't know if it can take another bullshit speech about healing,1
how to navigate high school as an out transgender student,0
"facebook bans thousands of snowboarders, base jumpers in crackdown on 'dangerous' accounts",1
usain bolt ends olympic career with one more gold,0
tmz dayton bureau catches secondhand furniture-store owner coming out of all-night truck stop,1
man who spent last 2 years drawing pictures of trump and putin making out beginning to realize just how wrong he's been,1
man avoids messing with texas,1
top 10 college basketball seniors,0
cia's brennan says tearing up iran deal would be 'folly',0
trump dismisses accusers as women,1
christian bale visits sikh temple victims,1
man on first date cunningly leaves behind one of his fingers at woman's house,1
10th-grade prodigy studying mathematics at 10th-grade level,1
supreme court steps in to keep louisiana abortion clinics open,0
real-life fitness strategies to survive the winter months,0
"in attempt to jump-start economy, obama declares tuesdays ladies' night",1
melania trump: 'my fat piece-of-shit husband who should go kill himself needs to stop bullying people online',1
behind the design: creating the perfect room for sleep,0
movie marketed as six different genres,1
rubio and cruz have 'anti-lgbt' advisory boards. where is trump's?,0
u.s. tourist was detained in north korea  for leaving bible in a bathroom,0
the five stages of empty-nest syndrome,0
media company looking for ways to get rid of veteran 24-year-old employee,1
thousands march in france over the murder of an 85-year-old holocaust survivor,0
arizona republicans want to prosecute protesters the same way they do terrorists,0
"riz ahmed, mindy kaling, aziz ansari and others launch appeal for rohingya",0
"roy moore tries, fails to heckle jimmy kimmel",0
every one of man's priorities unrecognizable to grandfather,1
man derives depressing amount of pride from hometown burger chain,1
man's dream to get drunk in an a-frame finally realized,1
conservative pundit s.e. cupp hits trump white house right in the balls,0
should banks be allowed to robocall your mobile phone?,0
russian roulette: taxpayers could be on the hook for trillions in oil derivatives,0
gop lawmaker stands by claim that islam is 'a cancer' in america,0
film-school graduate goes straight to video-store job,1
cardinals host going-away party at pope's favorite vatican city dive bar,1
stephen colbert: trump tweets more to attack kristen stewart than condemn anti-semitism,0
"vote, voter wasted",1
coach filmed before live studio audience,1
report: john grisham slowly but surely climbing list of greatest living american authors,1
giuliani spotted sleeping on new york city subway,1
"donald trump is unqualified to be president, majority of american voters say",0
slow-motion woman emerges glistening from pool,1
black voter turnout so far is not good for hillary clinton,0
saudi women receive husbands' explicit permission to celebrate right to vote,1
man sleeps through his stop on elevator,1
biden working his way through scratch-off tickets during obama's swearing-in,1
why congress matters: lessons from ray rice and the vawa anniversary,0
loyal driveway patiently waiting for owner to return from work,1
where to watch fourth of july fireworks in illinois,0
"100 million more people will be in poverty by 2030 without action on climate, world bank says",0
10th-grade class watches ben-hur for two weeks,1
put on your damn swimsuit,0
guy looking to feel horrible about aspect of everyday life decides to watch documentary,1
family without candy sits huddled in darkened house like londoners during the blitz,1
"mike pence condemns atheists, homosexuals, and feminists for role in forcing god to punish america on 9/11",1
code words for spinster throughout history,0
christian bale glad to be done with most humiliating experience of professional life,1
"america, it's time to rise up to save lives",0
20 meditation tips for beginners,0
report: peaceful transfer of power makes last-minute push to become most pressing issue of 2016 election,1
frank gehry: is music liquid architecture?,0
pig farmers are struggling to keep up with america's bacon needs,0
stephen miller desperately searching for next fix after high of detained children starts wearing off,1
picture of lemur printed for no goddamned reason,1
"lost cat, dog on journey die immediately",1
actual problem a nice change of pace for anxious man,1
7 mistakes leaders make that make everyone miserable,0
how to take your dream vacation without a guidebook or expensive cell charges,0
report: more americans turning to louder sources for their news,1
this is the 'single biggest barrier to sexual satisfaction',0
dead deer by side of road covered in graffiti,1
obama administration tries to smooth path back to school for jailed students,0
character witness told he doesn't have what it takes to be star witness,1
'goodell must go' banners flying over nfl stadiums,0
thousands gather in louisville to pay final respects to muhammad ali,0
family worried where grandma going with conversation on low-income housing,1
kavanaugh claims he never committed sexual assault as it will be defined after future supreme court case,1
i'm the crystal (and so are you): a poem for cold times,0
trump reveals how he would force mexico to pay for border wall,0
cleveland ukrainian museum pulling out all stops to prepare for onrush of rnc visitors,1
man bitten by radioactive sloth does the lying-around-all-day of 10 normal men,1
transcanada shelves its u.s. keystone application,0
iraqi forces open fire on protesters storming green zone,0
"'yes, but how did he die?' ghoulish american public asks of recent celebrity death while rubbing delicate, bony hands together and smiling thinly",1
how do you campaign for your dad in iowa? ask martin o'malley's teenage son.,0
doctors to exercising seniors: don't bother,1
mta reminds new yorkers they can fucking walk,1
breaking: thriller writer jeffery deaver at top of his game,1
"larry nassar: 'who among us hasn't made a mistake repeatedly and with wild, shameless abandon?'",1
"gop-led house ignores dems' sit-in, approves $1.1 billion to fight zika",0
15 darling circle bags to complete your spring wardrobe,0
"music, beer and summer, or why craft beer fests are my new rock concerts",0
reform jews poised to pass transgender resolution,0
judith miller clings to her own stubborn myths,0
terrible idea committed to paper,1
"japan's economy emerges from recession, growth weaker than forecast",0
protest again delays hawaii giant telescope construction,0
"meanwhile, in the real world",0
eating more fish could lower your risk of depression,0
doctor advises man with healthy blood pressure to really fucking let it rip,1
14-hour labor not exactly cakewalk for baby sticking halfway out mother's vagina either,1
15 cnn ireporters killed in afghanistan,1
theresa may recommits to nhs after receiving stark reminder of abysmal state of u.s. mental health care,1
alabama forced to release thousands of sex offenders after inmates deny charges,1
insurance only covers generic heart transplant,1
mom keeps sending newspaper clippings about former classmates who have been murdered,1
weary nation says one or two more divisive issues should finish it off,1
scott disick and 18-year-old lindsay vrckovnik are apparently just friends,0
11 times the olsen twins dressed in a shambles and still looked better than you,0
congressional authorization,0
the future of europe: proudly small,0
bigot annoyed local mosque already vandalized before he got there,1
the amazing london museum you never heard of,0
acclaimed mexican journalist: the drug war is 'completely false',0
why uber should hire a woman ceo,0
shipwreck survivors forced to endure ride home on disney cruise ship,1
"catholic church speaks out against decadent, sinfully rich dessert",1
"'no way to prevent this,' says only nation where this regularly happens",1
controversial photo-editing app under fire for makeup removal feature,0
obama kicks off 2015 with shave ice in hawaii,0
everyone on wedding dance floor simultaneously wondering if they're truly happy,1
wildlife cleaning volunteer stuck with the gulls again,1
drunk ron weasley wishing harry potter 'happy birthday' is pure magic,0
psychic phone service devastates competition by only hiring the best psychics,1
bernie sanders shows how reagan destroyed the middle class,0
thursday cry moved up to wednesday due to scheduling conflict,1
17-year-old snowboarder wins united states' first gold medal in pyeongchang,0
man waiting to see how few more decades of racial violence play out before taking action,1
trump casually informs pence he going to make one or two appearances during speech,1
"romney requiring potential running mates to write 5,000 word essay on favorite things about money",1
follow-up tests confirm president trump's 19 other personalities also perfectly healthy,1
13 easily overlooked bathroom accessories every home needs,0
taxpayer costs for arias' defense top $2.7 million,0
man accused of masturbating in car near girl scouts,0
this cruise ship from hell will make you wish you'd gone on a road trip,0
public pension funds profit trump; possible links to shady russian business deals,0
"israel: soldier thought captured is dead, more fighting imminent",0
terrifying mutation killing off u.s. cabinet members one at a time,1
"grotesque, misshapen mass of raisins slowly forming inside bag of trail mix",1
one place you won't find the confidence gap,0
delirious koala hasn't slept for 72 straight minutes,1
this is how the republican presidential candidates talk about women,0
school bully not so tough since being molested,1
why fashion blogger hannah stoudemire is protesting new york fashion week,0
rust belt town protests construction of new truck stop that would obstruct views of state penitentiary,1
here's what 'all my life' singers k-ci & jojo look like now,0
opinions versus opinionated,0
lieberman's overlords most displeased,1
here's what actually happens to the money in wishing wells,0
the 'love actually' mini-sequel won't include alan rickman or emma thompson,0
billions of electric signals between neurons allow brain to imagine what michael imperioli looks like,1
ridley scott describes opening scene of 'blade runner' sequel in impressive detail,0
"report: employers created 40,000 new jobs for existing employees last month",1
vatican bank's ex-chief indicted for embezzlement and money laundering,0
perfect girlfriend blames self for everything,1
there's no good excuse for the racist impact of michigan's medicaid proposal,0
police horrified by grisly remains of taco bell meal,1
microsoft is trying to predict the next president,0
biden tossed out of car passing by white house,1
the sound of president trump's silence,0
now is the time to talk about your pregnancy loss,0
mother surprised son needs so much ammunition for first day of school,1
slick rick's 'children's story' is getting turned into a real kid's book,0
5 important questions to ask about your audience before your next presentation,0
everyone is in love with shawn mendes after iheartradio music awards performance,0
alec baldwin secretes own hair gel,1
great barrier reef offers scuba divers chance to see beautiful diversity of ocean death,1
fussy eater 38,1
florida shooter's former friend says she reported him to school 'multiple' times,0
senate bill to end u.s. role in yemen war rejected by house raytheon executives,1
karate studio hoping to get local phone number that spells out word 'kick' or 'chop',1
growth potential,0
disney trailer teases exit of major character in upcoming film 'death at pooh corner',1
15 ways to look and feel younger instantly,0
danny masterson's publicist suggested a woman can't be raped by a man she's in a relationship with,0
what it takes to land a book deal,0
15 shot in chicago on sunday,0
"years after japan's earthquake disaster, a community struggles to pick up the pieces",0
scientists finally pronounce human genome,1
pizza hut introduces new meat sympathizer's pizza,1
julian assange fired from it job at pentagon,1
sat found to be biased in favor of non-hungover,1
rubio has a rocky road ahead,0
congress raises killing age to 19,1
alec baldwin ridicules donald trump over his disgusting comments about women on 'snl',0
"scientists: rich people, poor people may have shared common ancestor",1
death of mentally ill woman in police custody ruled a homicide,0
pence spends 621st straight sinful day coveting his neighbor's job,1
new 'avengers' fan theory suggests key to beating thanos could be nothing because he not real and none of this exists,1
black twitter is freaking out over harriet tubman on the $20 bill,0
name on valentine misspelled,1
line cook learns leaving restaurant industry not that easy,1
least avid sports fan tasked with fetching the next round,1
febreze releases new air horn for covering up unpleasant bathroom sounds,1
"women in business q&a: tooba marwat, owner, signarama",0
new u.s. currency expires if not spent in two weeks,1
prevent pr disaster: 6 steps for crisis planning,0
'ant-man and the wasp' trailer brings the fun after 'avengers: infinity war',0
huffpost rise: what you need to know on december 16,0
oscars audience shrugging uproariously during jimmy kimmel's opening monologue,1
urine-proof paint returns fire on peeing perps,0
jeb bush's super pac blew through $116 million in failed effort,0
"detroit unveils new half-ton, 400 horsepower motown singer",1
s.c. house approves bill to remove confederate flag from statehouse,0
pen pal becomes pen foe,1
"paul ryan mentally logs 4,613th missed opportunity to put stop to all of this",1
possible viking find could rewrite north american history,0
bombing in syria's ghouta won't let up long enough for rescuers to count bodies,0
'employees must wash hands' signs top iraqi hospital wish list,1
republican congressmen torched at angry town hall meetings in california,0
glade introduces new air freshener mask,1
what's missing from the marriage decision,0
man from canada acts like he's not cold,1
"meet one of the first cross-service, same-sex military couple to wed",0
"great, daughter measuring self-worth against some 13-year-old named skyla now",1
spring has sprung in the arctic ... but it's way too early for it,0
"as election draws near, area man moves to all-obama t-shirt rotation",1
i photograph to remember,0
"jcpenney ceo's severance package includes 34,000 pea coats",1
the double and the christmas holidays,0
east st. louis rated number-one city in america by 'poverty magazine',1
stephen colbert thinks he's found proof: 'there is definitely a pee pee tape',0
"'join email list' box pre-checked like sneaky, conniving fucker it is",1
a letter to parents at the start of a new school year,0
two-faced house guest who didn't need anything suddenly wants glass of water,1
big wave surfer breaks his back in harrowing wipeout on video,0
how to make a living as a drag queen,0
"'no way to prevent this,' says only nation where this regularly happens",1
fda report finds food prevents hunger 98% of time when properly used,1
the case for the school bus as the final tech-free frontier,0
5 genius inventions that make it possible to nap pretty much anywhere,0
sec commissioner: we shouldn't be promoting investor confidence,0
gwyneth paltrow reported as news,1
man strains to find personalities in pet fish,1
one key thing writing teachers never told me and probably won't tell you,0
"indiana jones could be played by a woman, steven spielberg says",0
all the good sentiments on 'get well soon' card already taken,1
family dog barking at evil,1
bride and groom clearly have not kissed much,1
area man never leaves house without putting on lucky everything,1
woman forced to converse awkwardly with bank-promotion clown,1
two perspectives: assisted dying or assisted living?,0
proud billionaire helps young son open first offshore bank account,1
ben carson says college protests against racism could spark 'anarchy',0
oven preheated for 16 seconds,1
biden forges president's signature on executive order to make december dokken history month,1
detroit burned down for the insurance money,1
how to recover from unicorn hair,0
catchphrase from 'the love guru' overheard,1
doris duke & norton simon: kindred spirits a world apart,0
more than a third of people shot by lapd in 2015 were mentally ill,0
charlize theron makes a villain out of vin diesel in this 'fate of the furious' clip,0
kim kardashian breaks down over kris jenner's reaction to bruce jenner,0
religious pamphlet sat on,1
sesame street mourns death of original letter k,1
conservatives urge facebook users to use american flag filter to fight against rainbow pics,0
flight attendant quietly informs first class passengers where real emergency exits are,1
scientists close to developing life-saving vaccine that they can rub in faces of their doubters,1
theater goes nuts as hillary clinton appears in the audience,0
yo-yo ma injured during practice,1
navratri 2014: a hindu celebration of the mother goddess,0
study finds older dads may have 'geekier' sons,0
'the wire' cast reunited in baltimore to uplift community,0
what i learned from drawing my face over and over,0
what on earth do you have to do to be kicked out of politics?,0
foods that are better outside the u.s.,0
some genius juxtaposing religious iconography and bodily waste yet again,1
gop makes good on 2009 promise to block president's healthcare bill,1
harvey weinstein is despicable. what about bob?,0
kimmel brings down the house by giving trump's latest tweet a new ending,0
latinx artists are using this hashtag to showcase their incredible talent,0
"scam alert! in a hyperactive hurricane season, the worst may not be over",0
this teacher remixes rap songs like 'bad and boujee' to teach history lessons,0
slower-burning flag introduced,1
"human feet originally used for walking, anthropologists report",1
"paying organ donors for travel, recovery could enable more low-income people to save lives",0
"atlantic city casino can regulate waitresses' weight, ruling says",0
last dog at the shelter receives the sweetest farewell party,0
gravedigger suspended after taking photo with dead man,0
progressives in congress call for $2 trillion in infrastructure spending,0
ariana grande reportedly dating 'snl' star pete davidson,0
overworked prosecutor thinking of taking police brutality case as a little vacation,1
this senate candidate explains how god-awful and life consuming fundraising is,0
obama's foreign policy: continuity rather than contradictions,0
"kerry agrees to testify in front of issa, but not new benghazi committee",0
rotating knife vortex closed pending safety investigation,1
the real reason tyrese didn't reunite with taraji p. henson on 'empire',0
bored j.b. pritzker brainstorming new hobbies to blow money on after winning election,1
god quietly phasing holy ghost out of trinity,1
this group wants to build a giant barrier to pull trash from the pacific,0
k-pop fans lost their minds during the winter olympics closing ceremony,0
new liver complains of difficulty working with lou reed,1
paralympian made tv host who wears prosthetic leg 'proud to be disabled',0
"duke, duchess of cambridge announce name of third child is louis arthur al-baghdadi",1
vital info on iraqi chemical weapons provided by u.s. company that made them,1
ms-13 gang leader getting some pretty great ideas from watching ice work,1
charles darwin and the sunmine,0
heroic officer rescues skunk on same street where he once saved ducklings,0
pool owner has bathing suit that touched his penis you can borrow,1
guys' night out to include several key non-guys,1
george and amal clooney stun in first post-baby red carpet appearance,0
surrendering trump boys solemnly salute each other before leaping from white house first-story window,1
e. coli outbreak linked to chipotle spreads to 3 more states,0
family moves elderly aunt into subconscious,1
affordable living in great amazon rainforest location,0
anna deavere smith on the 44th jefferson lecture and the search for american character,0
black history month: feminism and inclusion,0
art major to stop capitalizing name,1
"lessons from a brush fire: ""what do you want us to grab, honey?""",0
lottery ticket holder has already spent $900 million in anticipation of winning big prize,1
the secret to successful co-parenting over the holidays,0
gop preparing for contested convention,0
man falls asleep at intersection. what cops say happens next is pure florida,0
romney stands behind ryan to show good campaigning stance,1
america's decline in wages can be traced to george w. bush era,0
frustrated dad at restaurant just wants a normal burger,1
hilarious video shows 'how to bake easter cookies like a toddler',0
nation wonders how ad guys from vitaminwater do it,1
idiot zoo animal with zero predators still protective of young,1
lone mexican in mexican restaurant doing the dishes,1
friends star spontaneously shown attending televised nbc sporting event,1
new bill would shed daylight on schools under investigation for sexual violence,0
hobby lobby to improve work performance through biblical punishments,0
friend from college wasted no time becoming white-collar professional,1
large dependent film tops weekend box office,1
"simple task of going to post office feels like weight of 10,000 boulders",1
"'100% of teenagers huge fucking assholes,' confirms study by sobbing, red-faced scientists",1
bling-bling pawned,1
nerf introduces line of real guns,1
it's not as easy as you think to spot a gerrymandered map,0
video store's 'favorites' shelf offers telling glimpse into manager's psyche,1
airasia search continues but bad weather drives back divers,0
nation throws off tyrannical yoke of moderate respect for women,1
compelling photos capture pope francis' visit to cuba,0
trump's refusal to accept election results has americans fuming,0
"trump's lies aren't lies because 'there's no such thing' as facts anymore, his surrogate says",0
grandma pretty much unmoved by threat of not seeing grandchildren,1
joe wilson getting bored with no-longer-covert wife,1
omarosa turns on trump: wouldn't vote for him again 'in a million years',0
fans disappointed to learn 'fast five' contains no car-chase scenes,1
olympic skier ashley caldwell's snooze button habit is so relatable,0
rudy's america,0
a valentine like no other,0
wedding videographer clearly shooting side project during ceremony,1
woman finds imperfect mate at outlet mall,1
uw-whitewater chancellor reprimands students after mistaking skincare product for blackface,0
"'flatbread means pizza,' man explains to visiting father",1
faa assures public: air travel 'pretty safe',1
joe kennedy iii reveals how his gop counterparts really feel about donald trump's tweets,0
the one phrase we should stop using,0
toddlers debate whether 'dora's explorer girls' canon or expanded universe,1
poll: 85% of americans would like to see candidates compete in funny obstacle course,1
report: country that might shut down because president wants big wall somehow considered best in the world,1
"as chipotle tries not to make people sick, it's silent on one important issue",0
filipino artists protest donald trump's visit with swastika effigy,0
inside facebook's plan to build an artificial brain,0
study: only 4 scenic routes left in country,1
sources: nfl knew what evil lurking within heart of man,1
"'well, that was cool,' say archaeologists before dumping bones of king richard iii back into hole",1
these new emojis will make you see food differently,0
'underground railroad' carries slaves from brooklyn to manhattan,1
three questions about the aereo supreme court case that desperately need answers,0
marco rubio climbs over garden wall for forbidden midnight meeting with super pac,1
israeli forces kill at least 16 palestinian protesters along gaza border: officials,0
creepy one-word text message from mom could mean anything,1
